Company,Industry,Code,Year,Season,announce_day,Date,TTM_PE,EPS_growth,Expeceted_Dividend_Rate,Position,Close,Position_new,Code_out,Date_out,Close_out,Return,holding_days,Daily_Return_geometry,Daily_Return_arithmetic
1513 中興電,電機機械,1513,2016,4,2017-03-31,2017-03-31,11.77,3.0,0.05422500000000003,1.0,18.86,1.0,1513,2017-05-15,18.1,-0.040296924708377424,45,-0.0009136121561248434,-0.0008954872157417205
1514 亞力,電機機械,1514,2015,3,2015-11-14,2015-11-16,14.240000000000006,0.8333333333333335,0.050975000000000006,1.0,7.66,1.0,1514,2016-03-31,8.47,0.1057441253263709,136,0.0007393800075565782,0.000777530333282139
1514 亞力,電機機械,1514,2016,1,2016-05-15,2016-05-16,10.617500000000009,2.727272727272727,0.054125000000000006,1.0,8.63,1.0,1514,2016-08-15,9.16,0.06141367323290847,91,0.0006551779814445435,0.0006748755300319613
1517 利奇,電機機械,1517,2016,1,2016-05-15,2016-05-16,11.12,0.4999999999999999,0.042825,1.0,10.03,1.0,1517,2016-08-15,10.27,0.023928215353938187,91,0.00025988455498326957,0.00026294742147184823
1521 大億,電機機械,1521,2014,1,2014-05-15,2014-05-15,12.602499999999996,0.8873239436619721,0.063325,1.0,64.87,1.0,1521,2015-03-31,74.7,0.15153383690457845,320,0.00044101854795264295,0.00047354324032680765
1521 大億,電機機械,1521,2015,1,2015-05-15,2015-05-15,12.415,0.6716417910447762,0.05145,1.0,75.04,1.0,1521,2015-08-14,72.06,-0.03971215351812374,91,-0.00044519976342616285,-0.00043639729140795315
1521 大億,電機機械,1521,2015,3,2015-11-14,2015-11-16,12.869999999999996,0.2016806722689076,0.05025,1.0,70.65,1.0,1521,2016-03-31,72.06,0.01995753715498938,136,0.00014531199933509598,0.0001467465967278631
1521 大億,電機機械,1521,2016,2,2016-08-14,2016-08-15,12.292499999999995,0.2295081967213115,0.057000000000000016,1.0,74.5,1.0,1521,2016-11-14,72.34,-0.028993288590604016,91,-0.0003232653084143111,-0.0003186075669297145
1521 大億,電機機械,1521,2016,4,2017-03-31,2017-03-31,11.892499999999998,0.9207920792079208,0.061825000000000026,1.0,76.0,1.0,1521,2017-05-15,76.94,0.012368421052631584,45,0.00027320524793150724,0.00027485380116959077
1522 堤維西,電機機械,1522,2015,3,2015-11-14,2015-11-16,7.842499999999997,1.1666666666666667,0.049075,1.0,21.0,1.0,1522,2016-11-14,30.0,0.4285714285714286,364,0.0009803564551591482,0.0011773940345368918
1527 鑽全,電機機械,1527,2014,1,2014-05-15,2014-05-15,8.969999999999997,0.34883720930232553,0.07427500000000001,1.0,32.93,1.0,1527,2014-08-14,36.75,0.1160036440935317,91,0.0012068169508776538,0.0012747653197091396
1527 鑽全,電機機械,1527,2014,3,2014-11-14,2014-11-14,8.6725,10.687500000000002,0.119025,1.0,36.51,1.0,1527,2015-05-15,39.19,0.07340454669953433,182,0.00038928133572757595,0.0004033216851622766
1527 鑽全,電機機械,1527,2015,2,2015-08-14,2015-08-14,6.955000000000003,2.6,0.07787499999999999,1.0,39.24,1.0,1527,2016-03-31,63.83,0.6266564729867481,230,0.0021175722201491887,0.0027245933608119484
1527 鑽全,電機機械,1527,2016,1,2016-05-15,2016-05-16,7.120000000000001,2.875,0.057999999999999975,1.0,64.94,1.0,1527,2016-11-14,82.28,0.26701570680628284,182,0.0013011991122380273,0.0014671192681663893
1527 鑽全,電機機械,1527,2016,4,2017-03-31,2017-03-31,12.122500000000002,0.5645161290322579,0.04029999999999999,1.0,88.31,1.0,1527,2017-05-15,75.19,-0.1485675461442646,45,-0.0035677339720904255,-0.003301501025428102
1530 亞崴,電機機械,1530,2015,3,2015-11-14,2015-11-16,11.967499999999996,1.3333333333333333,0.06012500000000001,1.0,28.27,1.0,1530,2016-03-31,27.54,-0.025822426600636716,136,-0.00019234678137503014,-0.00018987078382821116
1532 勤美,電機機械,1532,2015,1,2015-05-15,2015-05-15,8.659999999999998,1.6363636363636362,0.0689,1.0,25.46,1.0,1532,2015-08-14,23.68,-0.06991358994501184,91,-0.0007961420656885654,-0.0007682812081869434
1532 勤美,電機機械,1532,2015,3,2015-11-14,2015-11-16,5.977499999999997,2.9545454545454546,0.051,1.0,23.82,1.0,1532,2016-03-31,26.55,0.11460957178841302,136,0.0007981432275201428,0.000842717439620684
1532 勤美,電機機械,1532,2016,3,2016-11-14,2016-11-14,5.419999999999997,0.11494252873563215,0.06865000000000003,1.0,29.37,1.0,1532,2017-03-31,29.41,0.0013619339462036528,137,9.934409604062111e-06,9.941123694917173e-06
1535 中宇,電機機械,1535,2014,3,2014-11-14,2014-11-14,12.882500000000006,0.3389830508474578,0.046875000000000014,1.0,54.72,1.0,1535,2015-05-15,61.98,0.13267543859649122,182,0.0006847534523095611,0.0007289859263543474
1537 廣隆,電機機械,1537,2014,3,2014-11-14,2014-11-14,10.35,0.4451612903225807,0.05704999999999999,1.0,85.76,1.0,1537,2015-05-15,118.19,0.3781483208955223,182,0.0017638658818430741,0.0020777380268984743
1537 廣隆,電機機械,1537,2015,2,2015-08-14,2015-08-14,10.595,0.1411764705882353,0.05494999999999999,1.0,109.23,1.0,1537,2016-11-14,128.92,0.18026183282980845,458,0.00036193514668125815,0.0003935847878380097
1537 廣隆,電機機械,1537,2016,4,2017-03-31,2017-03-31,10.29,0.31474103585657376,0.05284999999999998,1.0,148.75,1.0,1537,2017-05-15,148.75,0.0,45,0.0,0.0
1540 喬福,電機機械,1540,2014,3,2014-11-14,2014-11-14,12.249999999999995,1.625,0.058000000000000024,1.0,18.52,1.0,1540,2015-05-15,18.44,-0.004319654427645703,182,-2.3785492338168623e-05,-2.37343649870643e-05
1541 錩泰,電機機械,1541,2015,2,2015-08-14,2015-08-14,9.55,3.2500000000000004,0.06785,1.0,17.5,1.0,1541,2016-03-31,49.06,1.8034285714285714,230,0.004491985629354156,0.007840993788819875
1541 錩泰,電機機械,1541,2016,1,2016-05-15,2016-05-16,9.642499999999998,1.627906976744186,0.062125000000000014,1.0,48.0,1.0,1541,2016-11-14,40.41,-0.15812500000000007,182,-0.0009452877240058166,-0.0008688186813186817
1541 錩泰,電機機械,1541,2016,4,2017-03-31,2017-03-31,10.56,0.92,0.0575,1.0,56.13,1.0,1541,2017-05-15,51.16,-0.08854445038303949,45,-0.002058155803253303,-0.001967654452956433
1558 伸興,電機機械,1558,2014,3,2014-11-14,2014-11-14,10.472499999999998,0.07268722466960352,0.05535,1.0,125.11,1.0,1558,2015-05-15,144.51,0.15506354408120848,182,0.0007923761762502757,0.0008519974949516949
1558 伸興,電機機械,1558,2015,2,2015-08-14,2015-08-14,9.47,0.15579710144927544,0.0547,1.0,120.71,1.0,1558,2016-03-31,129.89,0.07605003727942994,230,0.00031873323554321153,0.0003306523359975215
1558 伸興,電機機械,1558,2016,2,2016-08-14,2016-08-15,7.319999999999998,0.3291536050156741,0.06672499999999998,1.0,142.91,1.0,1558,2016-11-14,138.24,-0.03267790917360569,91,-0.00036502958507655947,-0.00035909790300665595
1558 伸興,電機機械,1558,2016,4,2017-03-31,2017-03-31,8.372499999999997,0.3993174061433445,0.06142499999999997,1.0,145.71,1.0,1558,2017-05-15,132.63,-0.08976734609841475,45,-0.0020879294258453474,-0.0019948299132981056
1560 中砂,電機機械,1560,2014,1,2014-05-15,2014-05-15,13.450000000000005,0.30120481927710857,0.043174999999999984,1.0,66.2,1.0,1560,2015-05-15,53.64,-0.18972809667673718,365,-0.0005762322829463429,-0.0005198030045938005
1560 中砂,電機機械,1560,2016,4,2017-03-31,2017-03-31,13.087499999999995,0.5421686746987953,0.0628,1.0,70.82,1.0,1560,2017-05-15,69.0,-0.025698955097430032,45,-0.000578386938339448,-0.0005710878910540007
1582 信錦,電子零組件,1582,2014,2,2014-08-14,2014-08-14,8.372499999999999,0.4629629629629629,0.0658,1.0,53.64,1.0,1582,2015-08-14,38.71,-0.2783370618941089,365,-0.0008932914454417018,-0.0007625672928605723
1582 信錦,電子零組件,1582,2015,3,2015-11-14,2015-11-16,6.950000000000001,0.15,0.077825,1.0,42.45,1.0,1582,2016-03-31,45.76,0.07797408716136611,136,0.0005522365023025166,0.0005733388761865155
1582 信錦,電子零組件,1582,2016,2,2016-08-14,2016-08-15,5.9224999999999985,0.17241379310344845,0.08975000000000001,1.0,48.95,1.0,1582,2017-05-15,63.08,0.28866189989785473,273,0.0009293854321854589,0.0010573695966954386
1583 程泰,電機機械,1583,2014,1,2014-05-15,2014-05-15,8.1775,0.061946902654867325,0.04705,1.0,67.05,1.0,1583,2014-11-14,63.96,-0.04608501118568231,183,-0.00025778491946093496,-0.00025183066221684324
1583 程泰,電機機械,1583,2015,3,2015-11-14,2015-11-16,6.7600000000000025,0.7749999999999998,0.0465,1.0,56.31,1.0,1583,2016-03-31,59.68,0.05984727401882428,136,0.0004274797009826692,0.0004400534854325315
1589 永冠-KY,電機機械,1589,2014,1,2014-05-15,2014-05-15,11.415,1.4523809523809528,0.041325,1.0,120.29,1.0,1589,2014-08-14,130.29,0.08313242996092773,91,0.0008779372626996906,0.0009135431863838213
1604 聲寶,電器電纜,1604,2014,3,2014-11-14,2014-11-14,14.962500000000002,0.20512820512820498,0.055275000000000005,1.0,9.64,1.0,1604,2015-03-31,11.0,0.1410788381742738,137,0.0009637792039614013,0.0010297725414180569
1604 聲寶,電器電纜,1604,2016,1,2016-05-15,2016-05-16,10.757500000000006,0.7586206896551726,0.07635,1.0,11.62,1.0,1604,2016-11-14,16.61,0.42943201376936324,182,0.0019649894521553968,0.0023595165591723255
1604 聲寶,電器電纜,1604,2016,4,2017-03-31,2017-03-31,10.847500000000005,1.0,0.06829999999999999,1.0,17.71,1.0,1604,2017-05-15,16.84,-0.04912478825522304,45,-0.0011187613411717257,-0.0010916619612271786
1617 榮星,電器電纜,1617,2015,4,2016-03-31,2016-03-31,11.3675,4.0,0.041825,1.0,6.37,1.0,1617,2016-05-16,6.0,-0.058084772370486704,46,-0.0013000238089165839,-0.0012627124428366675
